date,value
18/01/2021,1.38
19/01/2021,1.48
20/01/2021,1.62
21/01/2021,1.75
22/01/2021,1.89
23/01/2021,1.96
24/01/2021,2.04
25/01/2021,2.16
26/01/2021,2.3
27/01/2021,2.44
28/01/2021,2.59
29/01/2021,2.72
30/01/2021,2.8
31/01/2021,2.91
01/02/2021,3.05
02/02/2021,3.2
03/02/2021,3.38
04/02/2021,3.57
05/02/2021,3.71
06/02/2021,3.8
07/02/2021,3.9
08/02/2021,4
09/02/2021,4.16
10/02/2021,4.31
11/02/2021,4.53
12/02/2021,4.71
13/02/2021,4.81
14/02/2021,4.9
15/02/2021,5.04
16/02/2021,5.2
17/02/2021,5.4
18/02/2021,5.55
29/01/2021,8.17
06/02/2021,9.53
08/02/2021,9.79
10/02/2021,10.96
31/12/2020,0.03
04/01/2021,0.07
05/01/2021,0.1
07/01/2021,0.15
08/01/2021,0.2
11/01/2021,0.26
12/01/2021,0.32
13/01/2021,0.42
14/01/2021,0.6
15/01/2021,0.78
18/01/2021,0.98
19/01/2021,1.01
20/01/2021,1.12
21/01/2021,1.41
22/01/2021,1.65
25/01/2021,2
26/01/2021,2.11
27/01/2021,2.29
28/01/2021,2.5
29/01/2021,2.74
30/01/2021,2.93
01/02/2021,2.96
02/02/2021,2.96
03/02/2021,3.13
04/02/2021,3.5
05/02/2021,3.74
06/02/2021,3.93
07/02/2021,3.97
08/02/2021,3.98
09/02/2021,4.1
10/02/2021,4.22
11/02/2021,4.47
12/02/2021,4.72
13/02/2021,4.93
14/02/2021,4.99
15/02/2021,5
16/02/2021,5.12
17/02/2021,5.38
18/02/2021,5.67
27/12/2020,0
28/12/2020,0
29/12/2020,0
30/12/2020,0
31/12/2020,0
01/01/2021,0
02/01/2021,0
03/01/2021,0
04/01/2021,0
05/01/2021,0.01
06/01/2021,0.03
07/01/2021,0.06
08/01/2021,0.11
09/01/2021,0.13
10/01/2021,0.14
11/01/2021,0.18
12/01/2021,0.26
13/01/2021,0.35
14/01/2021,0.45
15/01/2021,0.54
16/01/2021,0.56
17/01/2021,0.58
18/01/2021,0.69
19/01/2021,0.86
20/01/2021,1.05
21/01/2021,1.25
22/01/2021,1.41
23/01/2021,1.47
24/01/2021,1.48
25/01/2021,1.58
26/01/2021,1.73
27/01/2021,1.88
28/01/2021,2.06
29/01/2021,2.2
30/01/2021,2.25
31/01/2021,2.26
01/02/2021,2.37
02/02/2021,2.53
03/02/2021,2.69
04/02/2021,2.89
05/02/2021,3.06
06/02/2021,3.11
07/02/2021,3.13
08/02/2021,3.27
09/02/2021,3.47
10/02/2021,3.69
11/02/2021,3.96
12/02/2021,4.19
13/02/2021,4.25
14/02/2021,4.27
15/02/2021,4.44
16/02/2021,4.68
17/02/2021,4.91
27/12/2020,0.03
28/12/2020,0.05
29/12/2020,0.1
30/12/2020,0.17
31/12/2020,0.22
01/01/2021,0.25
02/01/2021,0.31
03/01/2021,0.34
04/01/2021,0.4
05/01/2021,0.46
06/01/2021,0.53
07/01/2021,0.6
08/01/2021,0.67
09/01/2021,0.74
10/01/2021,0.78
11/01/2021,0.86
12/01/2021,0.95
13/01/2021,1.07
14/01/2021,1.19
15/01/2021,1.3
16/01/2021,1.37
17/01/2021,1.42
18/01/2021,1.51
19/01/2021,1.62
20/01/2021,1.78
21/01/2021,1.89
22/01/2021,2.03
23/01/2021,2.14
24/01/2021,2.21
25/01/2021,2.33
26/01/2021,2.45
27/01/2021,2.59
28/01/2021,2.71
29/01/2021,2.84
30/01/2021,2.94
31/01/2021,3.01
01/02/2021,3.15
02/02/2021,3.3
03/02/2021,3.46
04/02/2021,3.62
05/02/2021,3.78
06/02/2021,3.9
07/02/2021,3.97
08/02/2021,4.09
09/02/2021,4.25
10/02/2021,4.42
11/02/2021,4.59
12/02/2021,4.78
13/02/2021,4.91
14/02/2021,4.99
15/02/2021,5.14
16/02/2021,5.3
17/02/2021,5.47
18/02/2021,5.63
10/01/2021,1.25
11/01/2021,4.29
12/01/2021,7.42
15/01/2021,15.24
16/01/2021,17.35
17/01/2021,17.35
18/01/2021,19.1
19/01/2021,20.83
20/01/2021,20.83
21/01/2021,23.59
22/01/2021,26.35
23/01/2021,29.11
24/01/2021,30.69
25/01/2021,31.28
26/01/2021,32.87
27/01/2021,34.45
28/01/2021,36.6
29/01/2021,38.19
30/01/2021,38.19
31/01/2021,39.43
01/02/2021,42.44
02/02/2021,45.68
03/02/2021,48.02
04/02/2021,51.02
05/02/2021,54.24
06/02/2021,56.61
07/02/2021,56.61
08/02/2021,59.49
09/02/2021,62.39
10/02/2021,65.3
11/02/2021,68.57
12/02/2021,71.81
13/02/2021,75.06
14/02/2021,77
15/02/2021,78.3
16/02/2021,80.24
17/02/2021,82.18
28/12/2020,0
29/12/2020,0.01
30/12/2020,0.02
31/12/2020,0.02
01/01/2021,0.02
02/01/2021,0.03
03/01/2021,0.04
04/01/2021,0.1
05/01/2021,0.16
06/01/2021,0.2
07/01/2021,0.25
08/01/2021,0.34
09/01/2021,0.39
10/01/2021,0.43
11/01/2021,0.48
12/01/2021,0.54
13/01/2021,0.62
14/01/2021,0.68
15/01/2021,0.72
16/01/2021,0.77
18/01/2021,0.82
19/01/2021,0.91
20/01/2021,1.05
21/01/2021,1.21
22/01/2021,1.38
23/01/2021,1.54
25/01/2021,1.73
26/01/2021,1.9
27/01/2021,2.07
28/01/2021,2.25
29/01/2021,2.43
30/01/2021,2.6
01/02/2021,2.82
02/02/2021,3.03
03/02/2021,3.24
04/02/2021,3.45
05/02/2021,3.65
06/02/2021,3.82
08/02/2021,4.01
09/02/2021,4.2
10/02/2021,4.41
11/02/2021,4.63
12/02/2021,4.85
13/02/2021,5.05
15/02/2021,5.32
16/02/2021,5.52
17/02/2021,5.79
18/02/2021,6.08
27/01/2021,4.55
24/01/2021,9.95
06/02/2021,14.83
18/02/2021,22.57
11/02/2021,0
15/02/2021,0.08
28/12/2020,0.01
29/12/2020,0.03
30/12/2020,0.04
31/12/2020,0.05
03/01/2021,0.12
04/01/2021,0.16
05/01/2021,0.22
06/01/2021,0.33
07/01/2021,0.44
10/01/2021,0.73
11/01/2021,0.81
12/01/2021,0.9
13/01/2021,0.99
14/01/2021,1.09
15/01/2021,1.17
16/01/2021,1.24
17/01/2021,1.28
18/01/2021,1.36
19/01/2021,1.38
20/01/2021,1.43
21/01/2021,1.5
22/01/2021,1.55
23/01/2021,1.59
24/01/2021,1.62
25/01/2021,1.68
26/01/2021,1.76
27/01/2021,1.94
28/01/2021,2.2
29/01/2021,2.57
30/01/2021,2.89
31/01/2021,3.1
01/02/2021,3.23
02/02/2021,3.34
03/02/2021,3.46
04/02/2021,3.7
05/02/2021,3.94
06/02/2021,4.05
07/02/2021,4.11
08/02/2021,4.16
09/02/2021,4.2
10/02/2021,4.26
11/02/2021,4.46
12/02/2021,4.71
13/02/2021,4.8
14/02/2021,4.82
15/02/2021,4.9
16/02/2021,5.01
17/02/2021,5.24
30/12/2020,1.43
20/01/2021,1.82
25/01/2021,4.46
27/01/2021,4.55
03/02/2021,4.97
05/02/2021,5.13
08/02/2021,5.17
12/02/2021,5.75
15/02/2021,5.82
16/02/2021,5.87
17/02/2021,6.32
18/02/2021,7.28
15/01/2021,0
16/01/2021,0.01
17/01/2021,0.02
18/01/2021,0.03
19/01/2021,0.05
20/01/2021,0.06
21/01/2021,0.08
22/01/2021,0.1
23/01/2021,0.11
24/01/2021,0.12
25/01/2021,0.15
26/01/2021,0.15
27/01/2021,0.17
28/01/2021,0.21
29/01/2021,0.25
30/01/2021,0.27
31/01/2021,0.27
01/02/2021,0.29
02/02/2021,0.3
03/02/2021,0.32
04/02/2021,0.36
05/02/2021,0.39
06/02/2021,0.42
07/02/2021,0.42
08/02/2021,0.45
09/02/2021,0.48
10/02/2021,0.51
11/02/2021,0.54
12/02/2021,0.58
13/02/2021,0.6
14/02/2021,0.6
15/02/2021,0.63
16/02/2021,0.65
17/02/2021,0.68
18/02/2021,0.74
12/01/2021,0
22/01/2021,0.05
24/01/2021,0.05
25/01/2021,0.06
26/01/2021,0.09
27/01/2021,0.11
28/01/2021,0.14
29/01/2021,0.15
30/01/2021,0.18
31/01/2021,0.19
01/02/2021,0.21
02/02/2021,0.24
03/02/2021,0.26
04/02/2021,0.29
05/02/2021,0.32
06/02/2021,0.33
07/02/2021,0.34
08/02/2021,0.36
09/02/2021,0.39
10/02/2021,0.46
11/02/2021,0.5
13/02/2021,0.54
14/02/2021,0.55
15/02/2021,0.58
16/02/2021,0.61
17/02/2021,0.64
18/02/2021,0.65
08/02/2021,0
09/02/2021,0
17/02/2021,0.01
31/12/2020,0.04
04/01/2021,0.08
07/01/2021,0.31
10/01/2021,0.81
13/01/2021,1.57
17/01/2021,1.9
20/01/2021,2.47
24/01/2021,2.9
27/01/2021,3.27
31/01/2021,4.05
05/02/2021,4.67
07/02/2021,4.87
08/02/2021,4.93
09/02/2021,5.03
10/02/2021,5.2
11/02/2021,5.29
12/02/2021,5.37
13/02/2021,5.44
14/02/2021,5.51
15/02/2021,5.68
21/01/2021,4.18
22/01/2021,4.29
25/01/2021,4.95
26/01/2021,5.75
27/01/2021,6.57
28/01/2021,7.39
29/01/2021,8.07
02/02/2021,9.76
03/02/2021,11.25
04/02/2021,12.01
05/02/2021,12.02
06/02/2021,12.76
07/02/2021,13.23
08/02/2021,13.71
